id	label	city	visit_times
596	Android	北京市	27619
597	Unity3D	上海市	1396
598	jQuery	山西省	3246
599	HTML/CSS	福建省	80159
600	SQLServer	广东省	1534
601	MySQL	辽宁省	2539
602	Java	吉林省	13257
603	C	海南省	1899
604	设计工具	北京市	31059
605	前端工具	吉林省	316
606	Bootstrap	全球	85
607	MySQL	山西省	977
608	Html5	江西省	1596
609	iOS	浙江省	1520
610	Java	天津市	20227
611	JavaScript	辽宁省	22591
612	C++	辽宁省	2767
613	C++	江西省	2459
614	大数据	四川省	1149
615	CSS3	山东省	734
616	Android	四川省	6115
617	C++	浙江省	4089
618	jQuery	宁夏回族自治区	810
619	功能测试	湖北省	425
620	大数据	安徽省	669
621	WebApp	天津市	715
622	大数据	上海市	4187
623	Go	新疆维吾尔自治区	19
624	前端工具	安徽省	1386
625	功能测试	浙江省	760
626	jQuery	江西省	3789
627	Android	海南省	90
628	MySQL	湖北省	7598
629	性能测试	四川省	85
630	大数据	北京市	9523
631	Linux	浙江省	7737
632	MySQL	上海市	7786
633	Bootstrap	海南省	124
634	Bootstrap	青海省	125
635	前端工具	上海市	4851
636	Linux	贵州省	510
637	Python	湖北省	19360
638	JavaScript	全球	725
639	动效动画	福建省	189
640	模型制作	浙江省	226
641	Bootstrap	吉林省	386
642	前端工具	辽宁省	921
643	Html5	辽宁省	856
644	Bootstrap	新疆维吾尔自治区	19
645	功能测试	上海市	1460
646	Bootstrap	陕西省	2765
647	Oracle	安徽省	1424
648	jQuery	河南省	6843
649	C++	黑龙江省	451
650	前端工具	海南省	200
651	jQuery	河北省	4491
652	Linux	天津市	1918
653	MySQL	四川省	4687
654	MySQL	天津市	2101
655	Oracle	内蒙古自治区	867
656	云计算	广西壮族自治区	6
657	Python	广东省	113121
658	WebApp	江西省	224
659	CSS3	福建省	1704
660	HTML/CSS	四川省	129258
661	MySQL	云南省	780
662	JavaScript	吉林省	9068
663	Bootstrap	上海市	14131
664	Html5	黑龙江省	247
665	Python	宁夏回族自治区	172
666	Java	广东省	305418
667	Java	河南省	71011
668	前端工具	江西省	1348
669	Oracle	江苏省	2547
670	MongoDB	湖北省	861
671	Bootstrap	河南省	6861
672	Html5	内蒙古自治区	432
673	Cocos2d-x	陕西省	33
674	iOS	新疆维吾尔自治区	202
675	Python	上海市	68100
676	Android	重庆市	1179
677	Oracle	北京市	5298
678	WebApp	河南省	593
679	HTML/CSS	吉林省	36073
680	Linux	陕西省	5239
681	C++	吉林省	665
682	前端工具	宁夏回族自治区	36
683	JavaScript	上海市	103796
684	Android	天津市	2001
685	C#	北京市	3006
686	C	河南省	19527
687	HTML/CSS	江西省	61188
688	CSS3	吉林省	496
689	模型制作	北京市	117
690	大数据	广西壮族自治区	108
691	Python	山西省	3235
692	Cocos2d-x	北京市	2103
693	C	全球	244
694	HTML/CSS	广东省	458081
695	C++	福建省	2375
696	设计工具	陕西省	5761
697	设计工具	安徽省	2090
698	Linux	全球	40
699	设计工具	内蒙古自治区	1695
700	MySQL	甘肃省	458
701	前端工具	江苏省	2675
702	Bootstrap	四川省	9026
703	WebApp	安徽省	513
704	云计算	浙江省	444
705	设计工具	黑龙江省	1386
706	模型制作	山西省	34
707	前端工具	广东省	14387
708	C#	山西省	380
709	Unity3D	全球 	267
710	Unity3D	湖北省	253
711	前端工具	重庆市	968
712	大数据	辽宁省	774
713	jQuery	吉林省	2381
714	Go	浙江省	297
715	Oracle	西藏自治区	149
716	Python	河南省	10097
717	Bootstrap	湖南省	3386
718	CSS3	重庆市	1390
719	C#	浙江省	1161
720	设计工具	江西省	8222
721	前端工具	全球	125
722	Unity3D	重庆市	27
723	性能测试	安徽省	38
724	PHP	云南省	6294
725	SQLServer	四川省	252
726	接口测试	河南省	91
727	前端工具	陕西省	1074
728	云计算	四川省	268
729	C++	贵州省	40
730	PHP	贵州省	3269
731	Android	安徽省	3116
732	功能测试	全球 	48
733	MySQL	宁夏回族自治区	374
734	Bootstrap	湖北省	5136
735	接口测试	江苏省	233
736	jQuery	甘肃省	31
737	C++	陕西省	2865
738	Oracle	全球 	713
739	Cocos2d-x	福建省	1247
740	设计工具	西藏自治区	44
741	Html5	吉林省	517
742	动效动画	陕西省	18
743	接口测试	天津市	2
744	jQuery	浙江省	14188
745	Bootstrap	福建省	8810
746	PHP	上海市	24628
747	WebApp	广东省	8323
748	C	全球 	7429
749	设计工具	湖北省	9065
750	Linux	甘肃省	137
751	CSS3	广东省	8100
752	云计算	北京市	708
753	MySQL	湖南省	2577
754	Android	山东省	3463
755	PHP	天津市	4552
756	MySQL	全球 	1863
757	Bootstrap	黑龙江省	95
758	接口测试	安徽省	46
759	Java	内蒙古自治区	12332
760	HTML/CSS	湖北省	119316
761	PHP	四川省	25918
762	Oracle	上海市	2224
763	iOS	四川省	1167
764	Android	江苏省	8273
765	HTML/CSS	陕西省	72631
766	Go	北京市	1172
767	功能测试	广西壮族自治区	20
768	HTML/CSS	云南省	29585
769	Sass/Less	全球 	809
770	WebApp	湖南省	1092
771	Oracle	四川省	962
772	前端工具	甘肃省	16
773	Html5	湖南省	1486
774	Sass/Less	上海市	6525
775	Unity3D	辽宁省	1099
776	C	四川省	34129
777	C#	天津市	1122
778	Sass/Less	四川省	1419
779	Java	北京市	211700
780	JavaScript	河北省	30780
781	前端工具	天津市	507
782	Bootstrap	甘肃省	622
783	SQLServer	上海市	224
784	Linux	北京市	23374
785	动效动画	江西省	811
786	PHP	浙江省	25344
787	Linux	吉林省	1588
788	SQLServer	江苏省	64
789	Unity3D	浙江省	879
790	jQuery	海南省	580
791	PHP	广东省	65018
792	Python	山东省	16515
793	PHP	江苏省	15590
794	Linux	湖南省	3311
795	Sass/Less	河北省	234
796	C#	湖北省	1493
797	SQLServer	湖北省	370
798	HTML/CSS	河南省	105207
799	Bootstrap	河北省	2572
800	Oracle	吉林省	236
801	C	江苏省	25538
802	jQuery	山东省	6488
803	jQuery	北京市	25533
804	MySQL	安徽省	1679
805	Html5	重庆市	1131
806	C++	湖南省	1738
807	大数据	浙江省	2646
808	动效动画	天津市	367
809	C	上海市	28794
810	前端工具	内蒙古自治区	602
811	Html5	北京市	13453
812	设计工具	重庆市	4724
813	设计工具	云南省	3995
814	设计工具	贵州省	3545
815	性能测试	江苏省	350
816	Python	四川省	26204
817	CSS3	上海市	3911
818	Linux	山东省	4178
819	Unity3D	河南省	696
820	Unity3D	吉林省	89
821	jQuery	福建省	9496
822	C	江西省	25342
823	C++	甘肃省	254
824	动效动画	山东省	730
825	MySQL	内蒙古自治区	586
826	功能测试	福建省	200
827	JavaScript	福建省	41321
828	PHP	黑龙江省	2752
829	Python	新疆维吾尔自治区	416
830	Linux	安徽省	3352
831	HTML/CSS	海南省	9878
832	C#	湖南省	1330
833	功能测试	江苏省	1076
834	Sass/Less	河南省	490
835	CSS3	湖北省	2466
836	MySQL	贵州省	1200
837	MySQL	江苏省	4215
838	Sass/Less	湖北省	526
839	Cocos2d-x	湖北省	418
840	iOS	湖北省	684
841	Linux	河南省	4300
842	云计算	上海市	468
843	Android	河北省	2445
844	大数据	江苏省	570
845	性能测试	浙江省	830
846	Html5	新疆维吾尔自治区	184
847	Linux	上海市	12174
848	CSS3	宁夏回族自治区	308
849	Java	山东省	78553
850	PHP	内蒙古自治区	3302
851	Android	广西壮族自治区	1070
852	CSS3	河南省	1765
853	C	宁夏回族自治区	664
854	Linux	黑龙江省	888
855	动效动画	湖南省	405
856	动效动画	全球 	73
857	动效动画	山西省	153
858	JavaScript	河南省	55185
859	iOS	河北省	708
860	设计工具	河北省	6385
861	MySQL	河南省	2245
862	HTML/CSS	河北省	71816
